ad_id,page_id,page_name,ad_creative_body,ad_creative_link_caption,ad_creative_link_description,ad_creative_link_title,ad_delivery_start_time,ad_delivery_stop_time,demographic_distribution,funding_entity,impressions_min,spend_min,spend_max,ad_url,currency
1249988592138749,109331125804669,De Hypotheker,"Niet alleen in Nederland is er sprake van een overspannen huizenmarkt: in vrijwel alle OESO-landen zijn de huizenprijzen in het eerste kwartaal van dit jaar sterker gestegen dan de afgelopen 20 jaar. Dat ligt niet alleen aan een tekort aan woningen. 🏠

👉 Lees verder via de link in bio @dehypotheker

#hypotheekadvies #hypotheekadviseur #hypotheken #huiskopen #woningkopen #huizenmarkt #woningmarkt #huizenjacht #huizenprijzen #financieeladvies #modaalinkomen #janmodaal #woningkrapte #nederland #oeso",hypotheker.nl,Niet alleen in Nederland is er sprake van een overspannen huizenmarkt: in vrijwel alle OESO-landen zijn de huizenprijzen sterk gestegen.,Gekte op de woningmarkt is niet alleen een Nederlands probleem,2021-08-23,2021-08-24,"[{'percentage': '0.021882', 'age': '65+', 'gender': 'female', 'ad_id': '1249988592138749'}, {'percentage': '0.063457', 'age': '55-64', 'gender': 'female', 'ad_id': '1249988592138749'}, {'percentage': '0.073304', 'age': '35-44', 'gender': 'female', 'ad_id': '1249988592138749'}, {'percentage': '0.0186', 'age': '18-24', 'gender': 'female', 'ad_id': '1249988592138749'}, {'percentage': '0.033917', 'age': '55-64', 'gender': 'male', 'ad_id': '1249988592138749'}, {'percentage': '0.094092', 'age': '45-54', 'gender': 'male', 'ad_id': '1249988592138749'}, {'percentage': '0.065646', 'age': '45-54', 'gender': 'female', 'ad_id': '1249988592138749'}, {'percentage': '0.091904', 'age': '18-24', 'gender': 'male', 'ad_id': '1249988592138749'}, {'percentage': '0.28337', 'age': '25-34', 'gender': 'male', 'ad_id': '1249988592138749'}, {'percentage': '0.16849', 'age': '35-44', 'gender': 'male', 'ad_id': '1249988592138749'}, {'percentage': '0.021882', 'age': '65+', 'gender': 'male', 'ad_id': '1249988592138749'}, {'percentage': '0.063457', 'age': '25-34', 'gender': 'female', 'ad_id': '1249988592138749'}]",,0,0,99,https://www.facebook.com/ads/library/?id=1249988592138749,EUR
2810064679062986,152548401508879,Verzekerings Collectief Kral Westen / RegioBank Emmen,"Hypotheekadvies, belangrijk advies. 

Hier wilt u graag deskundig en onafhankelijk in geadviseerd worden. 
Wij vergelijken voor u de verschillende aanbieders en gaan samen met u op zoek naar de vorm waar u zich prettig bij voelt.

#vce #emmen #hypotheek",,,,2020-03-06,2020-03-09,"[{'percentage': '0.117465', 'age': '55-64', 'gender': 'male', 'ad_id': '2810064679062986'}, {'percentage': '0.07728', 'age': '35-44', 'gender': 'male', 'ad_id': '2810064679062986'}, {'percentage': '0.127357', 'age': '45-54', 'gender': 'male', 'ad_id': '2810064679062986'}, {'percentage': '0.157342', 'age': '35-44', 'gender': 'female', 'ad_id': '2810064679062986'}, {'percentage': '0.26677', 'age': '45-54', 'gender': 'female', 'ad_id': '2810064679062986'}, {'percentage': '0.252241', 'age': '55-64', 'gender': 'female', 'ad_id': '2810064679062986'}, {'percentage': '0.001236', 'age': '45-54', 'gender': 'unknown', 'ad_id': '2810064679062986'}, {'percentage': '0.000309', 'age': '55-64', 'gender': 'unknown', 'ad_id': '2810064679062986'}]",Jannet Westebring,5000,0,99,https://www.facebook.com/ads/library/?id=2810064679062986,EUR
